Boat Name,gear_type
Kambi popote,Unknown
Big up,Ring_net
Hasbiyaallah,Ring_net
Jamila,Handline
Angalia Mbele,Ring_net
Mashallah,Unknown
Zam Zam,Ring_net
Al Farooq,Handline
Sina haja,Handline
Kisuna,Ring_net
Kambi popote,Unknown
Baba Wawili,Handline
Haizuru Simai Haji,Handline
Al Farooq,Handline
Mashallah,Unknown
Kisuna,Ring_net
Zam Zam,Ring_net
Sikuhazigandi 2,Unknown
Kambi popote,Unknown
Baba Wawili,Handline
Sikuhazigandi 2,Unknown
Angalia Mbele,Ring_net
Al Farooq,Handline
Taysir,Ring_net
Sina haja,Handline
Kisuna,Ring_net
Mashallah,Unknown
Sikuhazigandi 2,Unknown
Baba Wawili,Handline
Uzuri Ngamani,Handline
Jamila,Handline
Angalia Mbele,Ring_net
Focus,Ring_net
Sikuhazigandi 2,Unknown
Kisuna,Ring_net
Al Farooq,Handline
Sikuhazigandi 2,Unknown
Kambi popote,Unknown
Baba Wawili,Handline
Big up,Ring_net
Sikuhazigandi 2,Unknown
Big up,Ring_net
Jamila,Handline
Mashallah,Unknown
Baba Wawili,Handline
Angalia Mbele,Ring_net
Kambi popote,Unknown
Sikuhazigandi 2,Unknown
Angalia Mbele,Ring_net
Suleiman Shariff Haji,Longline
Al Farooq,Handline
Al Farooq,Handline
Suleiman Shariff Haji,Longline
Angalia Mbele,Ring_net
Sikuhazigandi 2,Unknown
Kisuna,Ring_net
Haizuru Simai Haji,Handline
Baba Wawili,Handline
Big up,Ring_net
Big up,Ring_net
Angalia Mbele,Ring_net
Kisuna,Ring_net
Sina haja,Handline
Baba Wawili,Handline
Big up,Ring_net
Sikuhazigandi 2,Unknown
Jamila,Handline
Big up,Ring_net
Baba Wawili,Handline
Angalia Mbele,Ring_net
Big up,Ring_net
Sikuhazigandi 2,Unknown
Kisuna,Ring_net
Sikuhazigandi 2,Unknown
Jamila,Handline
Kisuna,Ring_net
Sikuhazigandi 2,Unknown
SEAZONE,Handline
Sina haja,Handline
Al Farooq,Handline
Jamila,Handline
Salum Omar Khatib,Gillnet
Al Farooq,Handline
Uzuri Ngamani,Handline
Mashallah,Unknown
Baba Wawili,Handline
Sina haja,Handline
Baba Wawili,Handline
Kisuna,Ring_net
Arhama,Ring_net
Kocha,Longline
Cheka nao,Longline
Cheka nao,Longline
Cheka nao,Longline
Cheka nao,Longline
Ndio dunia,Ring_net
Moyo tulia,Longline
Tanzilu,Ring_net
Madengo mtuma,Longline
Tuimarike kengeja,Longline
Bora kazi,Longline
Bora kazi,Longline
Ulezi kazi chole,Longline
Fikra zenu,Gillnet
Niruhuda,Ring_net
Maokoto,Gillnet
Nashukuru,Gillnet
Kitango,Gillnet
Jema ni lipi,Ring_net
Tumuombe Mola,Handline
ZinaMola,Handline
Yatakwisha,Handline
Kwa roho safi,Handline
Tatizo wao,Ring_net
Ipo Nia,Handline
Haina shehe,Gillnet
Tizamani,Trap
Maswabirina,Handline
Jitihada,Ring_net
Baba Wawili,Handline
Arhama,Ring_net
Baba Wawili,Handline
Saluti Apewe Mama,Ring_net
Arhama,Ring_net
Arhama,Ring_net
Kisuna,Ring_net
Baba Wawili,Handline
Cheka nao,Longline
Angalia Mbele,Ring_net
Arhama,Ring_net
Kisuna,Ring_net
SEAZONE,Handline
Moyo tulia,Longline
BinAyubu,Ring_net
Baba Wawili,Handline
Kisuna,Ring_net
Jamila,Handline
BinAyubu,Ring_net
Mwajirina,Ring_net
Arhama,Ring_net
Moyo tulia,Longline
Fikra zao Mkoani,Ring_net
Angalia Mbele,Ring_net
LAZIZI,Seine
Kisuna,Ring_net
Big up,Ring_net
Tanzilu,Ring_net
Itabaki stori,Ring_net
Jamila,Handline
Tajiri mtoto,Ring_net
Big up,Ring_net
Angalia Mbele,Ring_net
Ameir Juma Suleiman,Longline
Ameir Juma Suleiman,Longline
Arhama,Ring_net
Kisuna,Ring_net
Al Farooq,Handline
Mwajirina,Ring_net
BinAyubu,Ring_net
Fikra zao Mkoani,Ring_net
Tanzilu,Ring_net
Tajiri mtoto,Ring_net
Itabaki stori,Ring_net
Moyo tulia,Longline
Juma Ali Khamis,Longline
Baba Wawili,Handline
Angalia Mbele,Ring_net
Jamila,Handline
Arhama,Ring_net
BinAyubu,Ring_net
Al Farooq,Handline
Fikra zao Mkoani,Ring_net
Moyo tulia,Longline
Taysir,Ring_net
Itabaki stori,Ring_net
Big up,Ring_net
Baba Wawili,Handline
Angalia Mbele,Ring_net
Arhama,Ring_net
Fikra zao Mkoani,Ring_net
BinAyubu,Ring_net
Tanzilu,Ring_net
Mwajirina,Ring_net
Moyo tulia,Longline
Tajiri mtoto,Ring_net
Kisuna,Ring_net
Taysir,Ring_net
Itabaki stori,Ring_net
Baba Wawili,Handline
Al Farooq,Handline
Kisuna,Ring_net
Tajiri mtoto,Ring_net
Angalia Mbele,Ring_net
